CP,year,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,symbol,Cổ đông thiểu số,Doanh thu thuần,Lãi gộp,Thu nhập tài chính,Chi phí tài chính,Lãi/Lỗ từ hoạt động kinh doanh,Lợi nhuận khác,Chi phí bán hàng,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Giá vốn hàng bán,Lãi/lỗ từ công ty liên doanh
ACB,2024,50902749000000,-0.02758615828177908,16789768000000,0.0464348643258819,50902749000000.0,-23108047000000.0,27794702000000.0,5464958000000.0,-2226173000000.0,3238785000000.0,1170752000000.0,200357000000.0,450312000000.0,1266132000000.0,-642495000000.0,623637000000.0,36214000000.0,33514759000000.0,-10902603000000,22612156000000.0,-1606285000000.0,21005871000000,-4216103000000.0,-4199699000000,-16404000000.0,16789768000000,16789768000000,3669.0,ACB,,,,,,,,,,,,,,,,
ACB,2023,52346796000000,0.28619891174277867,16044733000000,0.17215858952310215,52346796000000.0,-27387226000000.0,24959570000000.0,4945751000000.0,-2023414000000.0,2922337000000.0,1110105000000.0,168383000000.0,2647140000000.0,1197217000000.0,-333846000000.0,863371000000.0,75610000000.0,32746516000000.0,-10874286000000,21872230000000.0,-1804231000000.0,20067999000000,-4023266000000.0,-3993022000000,-30244000000.0,16044733000000,16044733000000,3559.0,ACB,,,,,,,,,,,,,,,,
ACB,2022,40698834000000,0.20718583868153734,13688193000000,0.42544570063604725,40698834000000.0,-17165305000000.0,23533529000000.0,5057559000000.0,-1531315000000.0,3526244000000.0,1048369000000.0,-387873000000.0,20648000000.0,1110494000000.0,-120800000000.0,989694000000.0,59456000000.0,28790067000000.0,-11605045000000,17185022000000.0,-70814000000.0,17114208000000,-3426015000000.0,-3445611000000,19596000000.0,13688193000000,13688193000000,3486.0,ACB,,,,,,,,,,,,,,,,
ACB,2021,33713810000000,0.05832736999300723,9602746000000,0.24989811687709063,33713810000000.0,-14769018000000.0,18944792000000.0,4026460000000.0,-1132497000000.0,2893963000000.0,871556000000.0,449960000000.0,244051000000.0,703159000000.0,-563696000000.0,139463000000.0,20212000000.0,23563997000000.0,-8229776000000,15334221000000.0,-3336109000000.0,11998112000000,-2395366000000.0,-2389079000000,-6287000000.0,9602746000000,9602746000000,2799.0,ACB,,,,,,,,,,,,,,,,
ACB,2020,31855748000000,0.12494829173258874,7682823000000,0.2783533338203046,31855748000000.0,-17273625000000.0,14582123000000.0,2803484000000.0,-1108830000000.0,1694654000000.0,687187000000.0,166503000000.0,732115000000.0,495459000000.0,-215809000000.0,279650000000.0,19077000000.0,18161309000000.0,-7624268000000,10537041000000.0,-941153000000.0,9595888000000,-1913065000000.0,-1940681000000,27616000000.0,7682823000000,7682823000000,2808.0,ACB,,,,,,,,,,,,,,,,
BID,2024,138288411000000,-0.09474195024609502,25140037000000,0.16903663617782685,138288411000000.0,-80280835000000.0,58007576000000.0,13465312000000.0,-6390867000000.0,7074445000000.0,5361499000000.0,284513000000.0,4900330000000.0,9191893000000.0,-4205132000000.0,4986761000000.0,445742000000.0,81060866000000.0,-27966817000000,53094049000000.0,-21109180000000.0,31984869000000,-6380832000000.0,-6384627000000,3795000000.0,25604037000000,25140037000000,3204.0,BID,-464000000000.0,,,,,,,,,,,,,,,
BID,2023,152761316000000,0.2624825669444498,21504918000000,0.18904249893508274,152761316000000.0,-96625750000000.0,56135566000000.0,11893400000000.0,-5323530000000.0,6569870000000.0,4707371000000.0,305396000000.0,2871740000000.0,6542525000000.0,-4474726000000.0,2067799000000.0,355275000000.0,73013017000000.0,-25080598000000,47932419000000.0,-20343515000000.0,27588904000000,-5611763000000.0,-5615711000000,3948000000.0,21977141000000,21504918000000,3314.0,BID,-472223000000.0,,,,,,,,,,,,,,,
BID,2022,121000733000000,0.1979332647895252,18085912000000,0.7159084634375755,121000733000000.0,-65041035000000.0,55959698000000.0,10345574000000.0,-4694148000000.0,5651426000000.0,3136613000000.0,-31664000000.0,258467000000.0,6530152000000.0,-2316065000000.0,4214087000000.0,290952000000.0,69479579000000.0,-22714597000000,46764982000000.0,-23842333000000.0,22922649000000,-4574125000000.0,-4589174000000,15049000000.0,18348524000000,18085912000000,2699.0,BID,-262612000000.0,,,,,,,,,,,,,,,
BID,2021,101007908000000,0.0031821824321354203,10540138000000,0.5064609750248048,101007908000000.0,-54184600000000.0,46823308000000.0,10370092000000.0,-3755811000000.0,6614281000000.0,1896154000000.0,586241000000.0,207341000000.0,8957444000000.0,-2778592000000.0,6178852000000.0,187622000000.0,62493799000000.0,-19465321000000,43028478000000.0,-29480827000000.0,13547651000000,-2706380000000.0,-2707403000000,1023000000.0,10841271000000,10540138000000,1729.0,BID,-301133000000.0,,,,,,,,,,,,,,,
BID,2020,100687502000000,-0.0005928004468609433,6996622000000,-0.16393266121693864,100687502000000.0,-64890703000000.0,35796799000000.0,8618090000000.0,-3351709000000.0,5266381000000.0,1732324000000.0,478668000000.0,1516137000000.0,7992789000000.0,-2900221000000.0,5092568000000.0,154267000000.0,50037144000000.0,-17692960000000,32344184000000.0,-23317941000000.0,9026243000000,-1802678000000.0,-1799378000000,-3300000000.0,7223565000000,6996622000000,1004.0,BID,-226943000000.0,,,,,,,,,,,,,,,
