time,open,high,low,close,volume,symbol
2020-07-01,6.58,6.72,6.58,6.7,1676001,ACB
2020-07-02,6.7,6.75,6.64,6.67,1070089,ACB
2020-07-03,6.7,6.72,6.64,6.64,1271360,ACB
2020-07-06,6.64,6.84,6.64,6.81,3204367,ACB
2020-07-07,6.84,6.93,6.84,6.84,2389942,ACB
2020-07-08,6.81,6.93,6.81,6.9,1647694,ACB
2020-07-09,6.9,7.01,6.9,7.01,2248695,ACB
2020-07-10,7.01,7.04,6.87,6.93,2284971,ACB
2020-07-13,6.96,6.98,6.87,6.9,1840084,ACB
2020-07-14,6.9,6.96,6.84,6.93,1406915,ACB
2020-07-15,6.98,6.98,6.93,6.93,1570073,ACB
2020-07-16,6.98,6.98,6.9,6.93,903322,ACB
2020-07-17,6.96,7.21,6.93,7.16,7890281,ACB
2020-07-20,7.16,7.19,7.07,7.07,2622350,ACB
2020-07-21,7.07,7.1,6.98,7.1,2194410,ACB
2020-07-22,7.1,7.16,6.98,7.04,1726317,ACB
2020-07-23,7.04,7.04,6.93,6.98,1955757,ACB
2020-07-24,7.01,7.01,6.49,6.7,5532575,ACB
2020-07-27,6.03,6.61,6.03,6.29,6240477,ACB
2020-07-28,6.29,6.61,6.2,6.61,2598740,ACB
2020-07-29,6.55,6.58,6.23,6.41,4929532,ACB
2020-07-30,6.26,6.52,6.26,6.52,1914488,ACB
2020-07-31,6.55,6.55,6.38,6.49,2220749,ACB
2020-08-03,6.38,6.7,6.38,6.7,3044620,ACB
2020-08-04,6.72,6.9,6.72,6.84,2907562,ACB
2020-08-05,6.9,7.04,6.84,6.93,5472736,ACB
2020-08-06,6.96,6.96,6.84,6.87,1874899,ACB
2020-08-07,6.9,6.96,6.78,6.84,2150978,ACB
2020-08-10,6.84,6.96,6.84,6.87,2576760,ACB
2020-08-11,6.93,7.33,6.9,7.33,15333430,ACB
2020-08-12,7.45,7.47,7.27,7.33,6091725,ACB
2020-08-13,7.33,7.39,7.3,7.36,3803166,ACB
2020-08-14,7.36,7.36,7.21,7.3,6682494,ACB
2020-08-17,7.3,7.45,7.27,7.45,6222301,ACB
2020-08-18,7.5,7.53,7.39,7.39,4710796,ACB
2020-08-19,7.42,7.45,7.33,7.39,9263369,ACB
2020-08-20,7.73,7.95,7.5,7.8,19475136,ACB
2020-08-21,7.8,7.95,7.73,7.95,7392791,ACB
2020-08-24,7.95,8.07,7.88,7.88,6821518,ACB
2020-08-25,7.88,7.95,7.8,7.92,7801079,ACB
2020-08-26,7.92,7.99,7.84,7.95,6018699,ACB
2020-08-27,7.95,8.07,7.92,8.07,4863627,ACB
2020-08-28,8.1,8.18,7.99,8.03,6947593,ACB
2020-08-31,8.03,8.07,7.92,7.95,7008237,ACB
2020-09-01,7.95,7.99,7.88,7.92,7822064,ACB
2020-09-03,7.92,8.03,7.88,7.95,6080561,ACB
2020-09-04,7.88,7.95,7.8,7.92,4665691,ACB
2020-09-07,7.92,7.95,7.8,7.8,6067374,ACB
2020-09-08,7.8,7.84,7.73,7.73,12273484,ACB
2020-09-09,7.73,7.84,7.62,7.84,5021412,ACB
2020-09-10,7.84,7.95,7.84,7.84,3249267,ACB
2020-09-11,7.84,7.88,7.77,7.8,2350091,ACB
2020-09-14,7.8,7.99,7.8,7.95,5275848,ACB
2020-09-15,7.95,8.03,7.92,7.99,4632880,ACB
2020-09-16,7.95,7.99,7.92,7.95,2194115,ACB
2020-09-17,7.99,8.18,7.92,8.07,12323866,ACB
2020-09-18,8.07,8.14,8.03,8.14,3280690,ACB
2020-09-21,8.18,8.37,8.1,8.25,7244851,ACB
2020-09-22,8.25,8.37,8.14,8.37,8818518,ACB
2020-09-23,8.37,8.55,8.37,8.44,6511427,ACB
2020-09-24,8.4,8.48,8.25,8.33,5599785,ACB
2020-09-25,8.33,8.4,8.22,8.33,6416344,ACB
2020-09-28,8.33,8.55,8.33,8.48,8207740,ACB
2020-09-29,8.52,8.55,8.37,8.4,5923046,ACB
2020-09-30,8.4,8.44,8.33,8.44,3624221,ACB
2020-10-01,8.37,8.55,8.33,8.44,6510267,ACB
2020-10-02,8.4,8.82,8.4,8.63,23518516,ACB
2020-10-05,8.63,8.85,8.59,8.85,12875000,ACB
2020-10-06,8.85,9.08,8.85,9.0,10965000,ACB
2020-10-07,9.0,9.04,8.74,8.78,17681800,ACB
2020-10-08,8.7,8.89,8.63,8.7,13890500,ACB
2020-10-09,8.7,8.93,8.67,8.82,8717300,ACB
2020-10-12,8.89,8.93,8.74,8.74,8642000,ACB
2020-10-13,8.78,8.78,8.67,8.78,5319900,ACB
2020-10-14,8.82,9.04,8.78,9.0,20284500,ACB
2020-10-15,9.0,9.3,8.97,9.19,16334800,ACB
2020-10-16,9.19,9.38,9.08,9.27,8711000,ACB
