cp,year,tong_cong_tai_san_dong,tien_va_tuong_duong_tien_dong,tien_gui_tai_ngan_hang_nha_nuoc_viet_nam,tien_gui_tai_cac_tctd_khac_va_cho_vay_cac_tctd_khac,chung_khoan_kinh_doanh,chung_khoan_kinh_doanh_2,du_phong_giam_gia_chung_khoan_kinh_doanh,cac_cong_cu_tai_chinh_phai_sinh_va_khoan_no_tai_chinh_khac,cho_vay_khach_hang,cho_vay_khach_hang_2,du_phong_rui_ro_cho_vay_khach_hang,chung_khoan_dau_tu,chung_khoan_dau_tu_san_sang_de_ban,chung_khoan_dau_tu_giu_den_ngay_dao_han,du_phong_giam_gia_chung_khoan_dau_tu,dau_tu_dai_han_dong,dau_tu_vao_cong_ty_lien_doanh,tai_san_dai_han_khac_dong,du_phong_giam_gia_dau_tu_dai_han,tai_san_co_dinh_dong,tai_san_co_dinh_huu_hinh,tai_san_co_dinh_vo_hinh,gia_tri_rong_tai_san_dau_tu,tai_san_co_khac,tong_cong_nguon_von_dong,no_phai_tra_dong,cac_khoan_no_chinh_phu_va_nhnn_viet_nam,tien_gui_va_vay_cac_to_chuc_tin_dung_khac,tien_gui_cua_khach_hang,cac_cong_cu_tai_chinh_phai_sinh_va_khoan_no_tai_chinh_khac_2,von_tai_tro_uy_thac_dau_tu_cua_cp_va_cac_to_chuc_td_khac,phat_hanh_giay_to_co_gia,cac_khoan_no_khac,von_chu_so_huu_dong,von_cua_to_chuc_tin_dung,quy_cua_to_chuc_tin_dung,lai_chua_phan_phoi_dong,von_gop_cua_chu_so_huu_dong,symbol,dau_tu_vao_cong_ty_con,tai_san_co_dinh_thue_tai_chinh,chenh_lech_ty_gia_hoi_doai,cac_quy_khac,loi_ich_cua_co_dong_thieu_so,tai_san_ngan_han_dong,gia_tri_thuan_dau_tu_ngan_han_dong,cac_khoan_phai_thu_ngan_han_dong,hang_ton_kho_rong,tai_san_luu_dong_khac,tai_san_dai_han_dong,phai_thu_dai_han_dong,tai_san_dai_han_khac,no_ngan_han_dong,no_dai_han_dong,von_va_cac_quy_dong,co_dong_thieu_so,tra_truoc_cho_nguoi_ban_ngan_han_dong,phai_thu_ve_cho_vay_ngan_han_dong,hang_ton_kho_rong_dong,tai_san_luu_dong_khac_dong,quy_dau_tu_va_phat_trien_dong,co_phieu_pho_thong_dong,vay_va_no_thue_tai_chinh_dai_han_dong,nguoi_mua_tra_tien_truoc_ngan_han_dong,vay_va_no_thue_tai_chinh_ngan_han_dong,tra_truoc_dai_han_dong,phai_thu_dai_han_khac_dong,phai_thu_ve_cho_vay_dai_han_dong,loi_the_thuong_mai,von_ngan_sach_nha_nuoc_va_quy_khac,loi_the_thuong_mai_dong,trai_phieu_chuyen_doi_dong,chenh_lech_danh_gia_lai_tai_san
ACB,2024,864005703000000,5696449000000,25219753000000.0,117882259000000.0,3881151000000.0,4029088000000.0,-147937000000.0,55992000000.0,573946692000000.0,580686248000000.0,-6739556000000.0,121090243000000.0,108918477000000.0,12171766000000.0,0.0,124935000000,0.0,292867000000.0,-167932000000.0,5412370000000,3222198000000.0,2190172000000.0,177005000000.0,10518854000000.0,864005703000000,780544025000000,7954853000000.0,111591668000000.0,537304578000000.0,0.0,28008000000.0,101650446000000.0,22014472000000.0,83461678000000,44938358000000.0,14789568000000.0,23733752000000,44666579000000,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,2023,718794589000000,6909300000000,18504814000000.0,114873931000000.0,7177069000000.0,7323489000000.0,-146420000000.0,0.0,482234900000000.0,487601852000000.0,-5366952000000.0,73463347000000.0,44903768000000.0,28559579000000.0,0.0,140025000000,0.0,303387000000.0,-163362000000.0,4762561000000,3317568000000.0,1444993000000.0,177005000000.0,10551637000000.0,718794589000000,647838628000000,88000000.0,89506662000000.0,482702731000000.0,117126000000.0,41534000000.0,52410014000000.0,23060473000000.0,70955961000000,39112283000000.0,11557435000000.0,20286243000000,38840504000000,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,2022,607875185000000,8460892000000,13657531000000.0,85971313000000.0,1131327000000.0,1320941000000.0,-189614000000.0,100072000000.0,408856508000000.0,413706244000000.0,-4849736000000.0,75534794000000.0,31854915000000.0,43679879000000.0,0.0,146814000000,0.0,303387000000.0,-156573000000.0,3981376000000,2849732000000.0,1131644000000.0,177005000000.0,9857553000000.0,607875185000000,549436522000000,505876000000.0,67840840000000.0,413952789000000.0,0.0,60188000000.0,44304367000000.0,22772462000000.0,58438663000000,34046130000000.0,9220125000000.0,15172408000000,33774351000000,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,2021,527769944000000,7509877000000,32349574000000.0,49818776000000.0,11259731000000.0,11325371000000.0,-65640000000.0,226545000000.0,356050950000000.0,361912538000000.0,-5861588000000.0,59474604000000.0,9739539000000.0,49743071000000.0,-8006000000.0,171925000000,0.0,299317000000.0,-127392000000.0,3762548000000,2685070000000.0,1077478000000.0,216027000000.0,6929387000000.0,527769944000000,482869035000000,0.0,54393939000000.0,379920669000000.0,0.0,86066000000.0,30547883000000.0,17920478000000.0,44900909000000,27291260000000.0,7164297000000.0,10445352000000,27019481000000,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,2020,444530104000000,6967918000000,16616798000000.0,31671245000000.0,6167917000000.0,6285763000000.0,-117846000000.0,54473000000.0,308528625000000.0,311478989000000.0,-2950364000000.0,63399011000000.0,10790432000000.0,53048264000000.0,-439685000000.0,99489000000,2967000000.0,101827000000.0,-5305000000.0,3782753000000,2716915000000.0,1065838000000.0,348778000000.0,6893097000000.0,444530104000000,409081941000000,0.0,23875242000000.0,353195838000000.0,0.0,116705000000.0,22049697000000.0,9844459000000.0,35448163000000,21887364000000.0,5741759000000.0,7819040000000,21615585000000,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2024,2760791854000000,10772890000000,92341029000000.0,279971515000000.0,12734060000000.0,12773340000000.0,-39280000000.0,663256000000.0,2018043649000000.0,2056082420000000.0,-38038771000000.0,277838108000000.0,157918828000000.0,121120044000000.0,-1200764000000.0,3423594000000,3348512000000.0,182914000000.0,-107832000000.0,12119817000000,6799205000000.0,5320612000000.0,0.0,52883936000000.0,2760791854000000,2615880741000000,168388958000000.0,232954067000000.0,1953165486000000.0,0.0,11981467000000.0,198900165000000.0,50490598000000.0,144911113000000,84788796000000.0,19396820000000.0,36192494000000,68975153000000,BID,0.0,0.0,-701036000000.0,452623000000.0,5234039000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2023,2300868728000000,11029204000000,51615657000000.0,211812201000000.0,6972474000000.0,7003656000000.0,-31182000000.0,0.0,1737195822000000.0,1777664882000000.0,-40469060000000.0,222393123000000.0,127572432000000.0,95722385000000.0,-901694000000.0,3113075000000,3012284000000.0,214888000000.0,-114097000000.0,11096141000000,6401362000000.0,4694779000000.0,0.0,45641031000000.0,2300868728000000,2178001839000000,35896488000000.0,181830990000000.0,1704690185000000.0,328155000000.0,12207729000000.0,189486736000000.0,53561556000000.0,122866889000000,72711297000000.0,15662247000000.0,30330738000000,57004359000000,BID,0.0,0.0,-803547000000.0,345918000000.0,4966154000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2022,2120676711000000,13745228000000,111418448000000.0,221177798000000.0,1701464000000.0,1748521000000.0,-47057000000.0,1038214000000.0,1484168975000000.0,1522221714000000.0,-38052739000000.0,235636449000000.0,162283083000000.0,73734542000000.0,-381176000000.0,2968160000000,2871541000000.0,215076000000.0,-118457000000.0,10539477000000,6103314000000.0,4436163000000.0,0.0,38282498000000.0,2120676711000000,2016558206000000,152752718000000.0,177221298000000.0,1473598150000000.0,0.0,13237626000000.0,157051601000000.0,42696813000000.0,104118505000000,66204497000000.0,12447663000000.0,21503511000000,50585239000000,BID,0.0,0.0,-760404000000.0,267851000000.0,4723238000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2021,1761695792000000,12660583000000,68851444000000.0,135940229000000.0,6068913000000.0,6083165000000.0,-14252000000.0,192282000000.0,1325528925000000.0,1354632643000000.0,-29103718000000.0,177088795000000.0,111675314000000.0,65711393000000.0,-297912000000.0,2847647000000,2729682000000.0,215617000000.0,-97652000000.0,10741232000000,6338050000000.0,4403182000000.0,0.0,21775742000000.0,1761695792000000,1675366766000000,25340018000000.0,98007392000000.0,1380397799000000.0,0.0,14349996000000.0,123681757000000.0,33589804000000.0,86329026000000,65145472000000.0,9684951000000.0,8672557000000,50585239000000,BID,0.0,0.0,-367882000000.0,267851000000.0,3193928000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2020,1516685712000000,12294193000000,49432144000000.0,85347858000000.0,10169711000000.0,10184436000000.0,-14725000000.0,167933000000.0,1195239968000000.0,1214295916000000.0,-19055948000000.0,125114962000000.0,112192338000000.0,13501317000000.0,-578693000000.0,2760622000000,2643474000000.0,215470000000.0,-98322000000.0,10422121000000,6162330000000.0,4259791000000.0,0.0,25736200000000.0,1516685712000000,1437039100000000,17222797000000.0,82260848000000.0,1226673942000000.0,0.0,12853270000000.0,63236692000000.0,34791551000000.0,79646612000000,54780413000000.0,8064281000000.0,13517408000000,40220180000000,BID,0.0,0.0,49915000000.0,267851000000.0,3234595000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
