cp,year,lailo_cac_hoat_dong_khac,luu_chuyen_tien_thuan_tu_hdkd_truoc_thay_doi_vld,luu_chuyen_tien_thuan_tu_hdkd_truoc_thue,chi_tu_cac_quy_cua_tctd,mua_sam_tscd,tien_thu_co_tuc_va_loi_nhuan_duoc_chia,luu_chuyen_tu_hoat_dong_dau_tu,tang_von_co_phan_tu_gop_von_vahoac_phat_hanh_co_phieu,luu_chuyen_tien_tu_hoat_dong_tai_chinh,luu_chuyen_tien_thuan_trong_ky,tien_va_tuong_duong_tien,anh_huong_cua_chenh_lech_ty_gia,tien_va_tuong_duong_tien_cuoi_ky,luu_chuyen_tien_te_rong_tu_cac_hoat_dong_sxkd,tien_thu_duoc_tu_thanh_ly_tai_san_co_dinh,dau_tu_vao_cac_doanh_nghiep_khac,tien_thu_tu_viec_ban_cac_khoan_dau_tu_vao_doanh_nghiep_khac,co_tuc_da_tra,symbol,lailo_rong_truoc_thue,khau_hao_tscd,du_phong_rr_tin_dung,lailo_chenh_lech_ty_gia_chua_thuc_hien,lailo_tu_hoat_dong_dau_tu,thu_nhap_lai,tanggiam_cac_khoan_phai_thu,tanggiam_hang_ton_kho,tanggiam_cac_khoan_phai_tra,tanggiam_chi_phi_tra_truoc,chi_phi_lai_vay_da_tra,tien_thu_nhap_doanh_nghiep_da_tra,tien_chi_khac_tu_cac_hoat_dong_kinh_doanh,tien_chi_cho_vay_mua_cong_cu_no_cua_don_vi_khac_dong,tien_thu_hoi_cho_vay_ban_lai_cac_cong_cu_no_cua_don_vi_khac_dong,chi_tra_cho_viec_mua_lai_tra_co_phieu,tien_thu_duoc_cac_khoan_di_vay,tien_tra_cac_khoan_di_vay,tien_thu_khac_tu_cac_hoat_dong_kinh_doanh,tien_thanh_toan_von_goc_di_thue_tai_chinh,co_tuc_da_nhan,lailo_tu_thanh_ly_tai_san_co_dinh,thu_lai_va_co_tuc,tanggiam_cac_khoan_phai_thu_2,tanggiam_cac_khoan_phai_tra_2
ACB,2024,-164089000000.0,16709886000000.0,8371480000000.0,-1249000000.0,-919740000000,35058000000,-733310000000,0,-3884051000000,3752870000000,136071738000000,0.0,139824608000000,8370231000000,147865000000,0.0,3507000000,-3884051000000,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,2023,-18340000000.0,19421985000000.0,37137701000000.0,-1500000000.0,-1276249000000,74955000000,-1197256000000,0,-3377435000000,32561510000000,103510228000000,0.0,136071738000000,37136201000000,4038000000,0.0,0,-3377435000000,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,2022,152049000000.0,16413910000000.0,21476002000000.0,-201463000000.0,-511513000000,59599000000,-365878000000,0,0,20908661000000,82601567000000,0.0,103510228000000,21274539000000,4741000000,-10520000000.0,6451000000,0,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,2021,-94964000000.0,12326573000000.0,39927382000000.0,-1483000000.0,-636100000000,21979000000,-462403000000,0,-2884000000000,36579496000000,46022071000000,0.0,82601567000000,39925899000000,3265000000,0.0,0,0,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,2020,67987000000.0,9688384000000.0,10880417000000.0,-1156000000.0,-423132000000,17573000000,-395503000000,0,-140600000000,10343158000000,35678913000000,0.0,46022071000000,10879261000000,3336000000,0.0,0,0,ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2024,-3117574000000.0,39869606000000.0,98846772000000.0,0.0,-1244828000000,88105000000,-1128440000000,0,2267130000000,99985462000000,224739002000000,0.0,324724464000000,98846772000000,19896000000,-1028000000.0,14108000000,-94460000000,BID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2023,-3373336000000.0,50080394000000.0,-71013823000000.0,-1164000000.0,-2005077000000,182104000000,-1813698000000,0,-119694000000,-72948379000000,297687381000000,0.0,224739002000000,-71014987000000,11710000000,0.0,0,-119694000000,BID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2022,-1491709000000.0,49466042000000.0,132518884000000.0,-981000000.0,-1091733000000,165567000000,-917883000000,1059025000000,757095000000,132357115000000,165330266000000,0.0,297687381000000,132517903000000,9868000000,0.0,0,-301930000000,BID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2021,-2058082000000.0,43592314000000.0,68891039000000.0,-895000000.0,-1015514000000,88441000000,-977359000000,0,-1353760000000,66559025000000,98771241000000,0.0,165330266000000,68890144000000,8383000000,-53725000000.0,0,-1353760000000,BID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2020,-2050717000000.0,28758261000000.0,-67912612000000.0,-198000000.0,-1061633000000,134987000000,-919255000000,0,-2669096000000,-71501161000000,170272402000000,0.0,98771241000000,-67912810000000,8545000000,0.0,0,-2669096000000,BID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
