time,open,high,low,close,volume,symbol
2020-06-29,4.12,4.12,4.02,4.07,695034,VIB
2020-06-30,4.09,4.14,4.02,4.07,505813,VIB
2020-07-01,4.09,4.14,4.07,4.14,504327,VIB
2020-07-02,4.14,4.16,4.09,4.14,1319895,VIB
2020-07-03,4.16,4.16,4.14,4.14,440727,VIB
2020-07-06,4.14,4.16,4.09,4.14,725536,VIB
2020-07-07,6.84,6.93,6.84,6.84,2389942,ACB
2020-07-08,6.81,6.93,6.81,6.9,1647694,ACB
2020-07-09,40.44,40.86,40.27,40.74,444710,BVH
2020-07-10,6.59,6.75,6.59,6.67,9082870,SSI
2020-07-13,39.06,39.23,39.02,39.14,580920,PLX
2020-07-14,9.54,9.59,9.45,9.5,1809120,TCB
2020-07-15,40.78,41.04,40.61,40.82,611470,BVH
2020-07-16,107.8,112.0,107.3,112.0,280190,VJC
2020-07-17,20.74,20.74,20.57,20.57,1313100,FPT
2020-07-20,26.7,26.85,26.2,26.2,1258900,VRE
2020-07-21,39.19,39.23,38.43,38.72,439810,PLX
2020-07-22,35.62,35.62,35.49,35.62,625320,VCB
2020-07-23,76.01,76.01,74.89,75.13,137160,SAB
2020-07-24,15.26,15.39,14.43,14.73,8461420,CTG
2020-07-27,10.4,10.65,10.15,10.15,26014460,STB
2020-07-28,42.91,44.08,41.61,44.08,683540,GAS
2020-07-29,6.55,6.58,6.23,6.41,4929532,ACB
2020-07-30,74.22,76.0,74.22,75.65,242030,VIC
2020-07-31,74.67,80.0,74.49,77.78,939040,VIC
2020-08-03,10.15,10.45,10.05,10.35,9792690,STB
2020-08-04,8.93,9.02,8.86,8.9,1210770,TCB
2020-08-05,11.67,11.72,11.53,11.7,727910,PDR
2020-08-06,9.29,9.43,9.25,9.29,608120,GVR
2020-08-07,43.7,44.34,43.54,43.78,959230,MSN
2020-08-10,58.8,58.95,58.14,58.65,1688770,VHM
2020-08-11,44.34,44.34,43.78,44.18,658760,MSN
2020-08-12,7.45,7.47,7.27,7.33,6091725,ACB
2020-08-13,4.93,4.94,4.88,4.93,2730880,MBB
2020-08-14,40.05,40.1,39.03,39.12,584630,BVH
2020-08-17,7.3,7.45,7.27,7.45,6222301,ACB
2020-08-18,35.54,35.67,35.28,35.54,331690,VCB
2020-08-19,6.02,6.02,5.91,5.98,25160,TPB
2020-08-20,21.79,21.93,21.59,21.59,859310,BID
