cp,year,shares_outstanding,close,eps,roa,roe,bvps,pe,pb,loi_nhuan_sau_thue_cua_co_dong_cong_ty_me_dong,tong_cong_tai_san_dong,von_chu_so_huu_dong
ACB,2024,4466657900.0,21.85,3758.911,0.019,0.201,18685.487,5.813,1.169,16789768000000,864005703000000,83461678000000
ACB,2023,3884050400.0,15.55,4130.928,0.022,0.226,18268.548,3.764,0.851,16044733000000,718794589000000,70955961000000
ACB,2022,3377435100.0,12.34,4052.837,0.023,0.234,17302.675,3.045,0.713,13688193000000,607875185000000,58438663000000
ACB,2021,2701948100.0,15.24,3554.008,0.018,0.214,16617.976,4.288,0.917,9602746000000,527769944000000,44900909000000
ACB,2020,2161558500.0,9.94,3554.298,0.017,0.217,16399.354,2.797,0.606,7682823000000,444530104000000,35448163000000
BID,2024,6897515300.0,38.09,3644.796,0.009,0.173,21009.176,10.451,1.813,25140037000000,2760791854000000,144911113000000
BID,2023,5700435900.0,35.47,3772.504,0.009,0.175,21553.946,9.402,1.646,21504918000000,2300868728000000,122866889000000
BID,2022,5058523900.0,21.76,3575.334,0.009,0.174,20582.784,6.086,1.057,18085912000000,2120676711000000,104118505000000
BID,2021,5058523900.0,24.08,2083.639,0.006,0.122,17066.051,11.557,1.411,10540138000000,1761695792000000,86329026000000
BID,2020,4022018000.0,23.54,1739.58,0.005,0.088,19802.649,13.532,1.189,6996622000000,1516685712000000,79646612000000
BVH,2024,742322764.0,51.61,2843.099,0.008,0.09,31746.146,18.153,1.626,2110496926600,251286326838124,23565887059923
BVH,2023,742322764.0,42.17,2431.984,0.008,0.081,30014.352,17.34,1.405,1805317054880,221159823067196,22280336857205
BVH,2022,742322764.0,47.27,2089.38,0.008,0.073,28654.594,22.624,1.65,1550994189019,201663976385114,21270957604962
BVH,2021,742322764.0,50.48,2575.287,0.011,0.087,29678.897,19.602,1.701,1911694257420,169504598786269,22031321132756
BVH,2020,742322764.0,49.08,2152.148,0.011,0.077,28049.478,22.805,1.75,1597588285269,146412800818360,20821766040844
CTG,2024,5369991700.0,37.89,4720.345,0.011,0.171,27654.551,8.027,1.37,25348215000000,2385387732000000,148504708000000
CTG,2023,5369991700.0,26.28,3706.44,0.01,0.158,23439.854,7.09,1.121,19903550000000,2032613606000000,125871820000000
CTG,2022,4805750600.0,21.22,3521.557,0.009,0.156,22538.895,6.026,0.941,16923725000000,1808810868000000,108316308000000
CTG,2021,4805750600.0,27.86,2931.646,0.009,0.15,19486.969,9.503,1.43,14088760000000,1531587398000000,93649511000000
CTG,2020,3723404600.0,22.04,3684.854,0.01,0.161,22946.532,5.981,0.96,13720202000000,1341509978000000,85439224000000
FPT,2024,1471069183.0,127.61,5340.855,0.109,0.22,24286.784,23.893,5.254,7856767812178,71999995678620,35727540104800
FPT,2023,1269968875.0,68.47,5090.826,0.107,0.216,23569.878,13.45,2.905,6465190432622,60282827532899,29933011216233
FPT,2022,1097026572.0,45.8,4840.456,0.103,0.209,23113.501,9.462,1.982,5310108591408,51650403735130,25356124687812
FPT,2021,907551649.0,48.47,4779.245,0.081,0.203,23599.743,10.142,2.054,4337411879802,53697940895875,21417985230037
FPT,2020,783987486.0,22.71,4512.837,0.085,0.19,23732.097,5.032,0.957,3538007738822,41734323235194,18605667400728
GAS,2024,2342672919.0,64.1,4438.678,0.127,0.169,26282.369,14.441,2.439,10398370049725,81854881408158,61570995265630
GAS,2023,2296739847.0,65.87,5053.263,0.132,0.178,28431.004,13.035,2.317,11606030646959,87754455330448,65298620274393
GAS,2022,1913950000.0,73.57,7731.82,0.179,0.242,31961.944,9.515,2.302,14798317219715,82662652366363,61173563555141
GAS,2021,1913950000.0,63.04,4531.448,0.11,0.166,27269.642,13.912,2.312,8672965062460,78768074688564,52192730675130
GAS,2020,1913950000.0,46.74,4104.055,0.124,0.159,25862.578,11.389,1.807,7854955921939,63208401030103,49499680985454
GVR,2024,4000000000.0,30.67,997.179,0.048,0.068,14599.291,30.757,2.101,3988716618482,83383682512004,58397162212108
GVR,2023,4000000000.0,15.5,655.794,0.034,0.048,13744.301,23.635,1.128,2623175190293,78062093620098,54977202916058
GVR,2022,4000000000.0,13.24,970.47,0.049,0.073,13378.889,13.643,0.99,3881881209633,78447873682328,53515557543466
GVR,2021,4000000000.0,33.44,1039.549,0.053,0.08,12985.01,32.168,2.575,4158196263511,79014197735384,51940039448199
GVR,2020,4000000000.0,28.01,942.682,0.047,0.073,12857.663,29.713,2.178,3770729889631,80278179092452,51430652051301
HDB,2024,3510142300.0,22.75,3636.022,0.018,0.225,16141.015,6.257,1.409,12762953000000,697366458000000,56657261000000
HDB,2023,2907632100.0,13.81,3463.608,0.017,0.217,15958.113,3.987,0.865,10070898000000,602314859000000,46400322000000
HDB,2022,2530342900.0,10.8,3062.745,0.019,0.199,15410.91,3.526,0.701,7749794000000,416273023000000,38994886000000
HDB,2021,2007290600.0,15.87,3015.766,0.016,0.197,15339.141,5.262,1.035,6053519000000,374611571000000,30790113000000
HDB,2020,1608848800.0,9.17,2640.987,0.013,0.172,15355.109,3.472,0.597,4248949000000,319127480000000,24704048000000
HPG,2024,6396250200.0,22.25,1879.452,0.054,0.105,17924.167,11.839,1.241,12021443836074,224489707553981,114647457983699
